"Plot Title:  20976222"
"#","Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976222, SEN S/N: 20976222)","Temp, °C (LGR S/N: 20976222, SEN S/N: 20976222)","Water Level, meters (LGR S/N: 20976222)","Coupler Detached (LGR S/N: 20976222)","Coupler Attached (LGR S/N: 20976222)","Host Connected (LGR S/N: 20976222)","End Of File (LGR S/N: 20976222)"
0,01/08/21 05:00:00 PM,129.997,24.931,-3.360,Logged,,,
1,01/11/21 05:00:00 PM,129.997,24.931,-3.360,Logged,,,
2,02/08/21 05:00:00 PM,129.997,24.931,-3.360,Logged,,,
3,02/09/21 05:00:00 AM,129.822,24.931,-3.378,,,,
4,02/09/21 05:00:00 PM,129.754,24.835,-3.385,,,,
5,02/10/21 05:00:00 AM,129.649,24.835,-3.395,,,,
6,02/10/21 05:00:00 PM,129.614,24.835,-3.399,,,,
7,02/11/21 05:00:00 AM,129.579,24.835,-3.403,,,,
8,02/11/21 05:00:00 PM,129.474,24.835,-3.413,,,,
9,02/12/21 05:00:00 AM,129.684,24.835,-3.392,,,,
10,02/12/21 12:06:15 PM,,,,,Logged,,
11,02/12/21 12:06:23 PM,,,,,,Logged,Logged
12,03/11/21 05:00:00 PM,129.997,24.931,-3.360,Lo
13,03/11/21 05:00:00 PM,129.997,24.931,-3.360,Lo
14,04/11/21 05:00:00 PM,129.997,24.931,-3.360,Lo
15,04/14/21 05:00:00 PM,129.997,24.931,-3.360,Lo
16,05/14/21 05:00:00 PM,129.997,24.931,-3.360,Lo
17,06/14/21 05:00:00 PM,129.997,24.931,-3.360,Lo
18,07/14/21 05:00:00 PM,129.997,24.931,-3.360,Lo
